surname;score
c;16
c;19
c;26
c;21
c;22
c;20
c;17
c;20
c;21
c;27
c;26
c;29
c;16
c;23
c;24
c;22
v;25
v;26
c;10
c;17
c;27
c;8
c;24
c;24
c;25
c;19
c;25
c;26
c;15
c;24
v;25
c;20
c;25
c;15
c;23
c;18
c;23
c;24
c;28
c;12
c;22
c;23
v;29
v;26
v;20
v;19
v;24
v;25
v;28
c;22
c;19
c;15
c;18
c;22
c;17
c;28
c;22
c;13
c;20
c;27
c;19
c;24
c;24
c;10
v;16
v;16
c;25
c;24
c;13
c;17
c;18
c;24
c;18
c;12
c;26
c;11
c;18
c;17
c;17
c;29
c;23
v;15
c;17
c;28
c;23
c;23
c;18
c;23
c;24
c;23
c;23
c;15
c;22
c;28
c;22
c;17
c;19
c;27
c;18
c;19
c;25
c;20
c;18
c;21
c;14
c;22
c;24
c;12
c;23
v;17
v;4
c;27
c;16
c;17
c;21
c;14
c;9
c;8
c;18
c;16
c;10
v;23
c;11
c;17
c;15
c;14
c;16
c;21
c;9
c;22
c;11
c;18
c;26
c;19
c;13
c;13
c;9
v;21
v;13
c;19
c;20
c;24
c;5
c;4
c;13
c;21
c;19
c;17
c;18
c;14
c;9
v;16
c;18
c;18
c;9
c;15
c;10
c;11
c;26
v;19
v;6
v;15
v;8
v;13
v;23
v;11
v;7
v;12
c;22
c;18
c;27
c;18
c;6
c;12
c;23
c;18
v;20
c;10
c;18
c;13
v;20
v;17
c;27
c;20
c;12
c;14
c;24
c;17
c;13
c;12
c;18
c;23
c;17
c;22
c;14
c;15
c;18
c;25
c;28
c;19
c;8
c;20
c;13
c;11
c;19
c;18
c;7
c;15
c;21
c;16
v;18
v;20
c;23
c;14
c;17
c;23
c;16
v;17
v;11
v;21
v;5
c;22
c;9
c;14
c;12
c;17
c;23
c;26
c;12
c;13
c;17
c;10
c;26
c;10
c;15
c;16
c;5
c;17
c;15
c;21
c;7
c;13
c;12
c;24
c;7
c;17
c;20
c;14
c;16
c;5
c;8
c;23
c;12
c;15
v;13
v;13
v;21
c;16
c;25
c;15
c;26
c;22
c;22
c;16
c;20
c;27
c;22
c;24
c;18
c;7
c;18
c;21
v;18
v;22
c;28
c;22
c;19
c;17
c;22
c;23
c;23
c;25
c;9
c;10
c;27
c;30
c;23
c;25
c;19
c;11
c;15
c;10
c;25
c;4
c;19
v;16
